epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,174.74,0.35655,0.97052,1,0.08817,0.00332912,0.00332912,0.00332912
2,346.051,0.10786,0.98329,1,0.044,0.00659616,0.00659616,0.00659616
3,518.108,0.13436,0.97396,1,0.09011,0.00979687,0.00979687,0.00979687
4,692.633,0.22087,0.97346,1,0.06423,0.0097015,0.0097015,0.0097015
5,866.781,0.18988,0.97101,1,0.09281,0.009602,0.009602,0.009602
6,1041.2,0.15129,0.97936,1,0.05584,0.0095025,0.0095025,0.0095025
7,1216.38,0.11315,0.99066,1,0.02922,0.009403,0.009403,0.009403
8,1390.97,0.08709,0.99115,1,0.03463,0.0093035,0.0093035,0.0093035
9,1564.02,0.06743,0.9941,1,0.02146,0.009204,0.009204,0.009204
10,1733.06,0.06085,0.99312,1,0.01768,0.0091045,0.0091045,0.0091045
11,1905.08,0.06781,0.99705,1,0.00842,0.009005,0.009005,0.009005
12,2077.8,0.05234,0.9941,1,0.01728,0.0089055,0.0089055,0.0089055
13,2251.51,0.03952,0.99656,1,0.00813,0.008806,0.008806,0.008806
14,2423.47,0.04196,0.99459,1,0.01355,0.0087065,0.0087065,0.0087065
15,2595.43,0.05312,0.99853,1,0.00474,0.008607,0.008607,0.008607
16,2769.22,0.03467,0.99705,1,0.00702,0.0085075,0.0085075,0.0085075
17,2943.16,0.05091,0.99803,1,0.0065,0.008408,0.008408,0.008408
18,3117.05,0.03711,0.99853,1,0.00309,0.0083085,0.0083085,0.0083085
19,3291.69,0.03035,0.99607,1,0.01357,0.008209,0.008209,0.008209
20,3466.07,0.0365,0.99705,1,0.00927,0.0081095,0.0081095,0.0081095
21,3641.21,0.02925,0.99902,1,0.00444,0.00801,0.00801,0.00801
22,3816.71,0.03453,0.99803,1,0.00352,0.0079105,0.0079105,0.0079105
23,3991.35,0.02344,0.99951,1,0.00155,0.007811,0.007811,0.007811
24,4164.59,0.0185,0.99951,1,0.00182,0.0077115,0.0077115,0.0077115
25,4339.83,0.02633,0.99951,1,0.00226,0.007612,0.007612,0.007612
26,4513.11,0.02181,0.99902,1,0.00429,0.0075125,0.0075125,0.0075125
27,4685.84,0.02559,0.99853,1,0.00508,0.007413,0.007413,0.007413
28,4861.03,0.02645,0.99951,1,0.00167,0.0073135,0.0073135,0.0073135
29,5034.38,0.01899,1,1,0.00085,0.007214,0.007214,0.007214
30,5207.59,0.01888,1,1,0.00066,0.0071145,0.0071145,0.0071145
31,5382.45,0.01814,0.99951,1,0.00128,0.007015,0.007015,0.007015
32,5555.4,0.02111,0.99951,1,0.00166,0.0069155,0.0069155,0.0069155
33,5729.79,0.0189,1,1,0.00091,0.006816,0.006816,0.006816
34,5902.81,0.01364,1,1,0.0002,0.0067165,0.0067165,0.0067165
35,6074.77,0.01518,1,1,0.0004,0.006617,0.006617,0.006617
36,6274.35,0.01805,1,1,0.00025,0.0065175,0.0065175,0.0065175
37,6472.82,0.01448,1,1,0.00027,0.006418,0.006418,0.006418
38,6681.42,0.01522,1,1,0.00019,0.0063185,0.0063185,0.0063185
39,6862.29,0.00964,1,1,0.00039,0.006219,0.006219,0.006219
40,7042.89,0.01417,0.99902,1,0.00184,0.0061195,0.0061195,0.0061195
41,7222.44,0.01025,1,1,0.00024,0.00602,0.00602,0.00602
42,7406.46,0.01045,0.99951,1,0.00061,0.0059205,0.0059205,0.0059205
43,7582.15,0.01501,1,1,0.00026,0.005821,0.005821,0.005821
44,7760,0.01003,1,1,0.00045,0.0057215,0.0057215,0.0057215
45,7938.12,0.00868,1,1,0.00071,0.005622,0.005622,0.005622
